epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.478,0.79839,2.16041,1.35021,0.95133,0.27345,0.74271,0.54528,0.83204,2.8395,1.57243,0.0005001,0.0005001,0.0005001
2,378.248,0.81244,1.48927,1.34788,0.63216,0.62974,0.67451,0.35123,1.27505,2.60509,2.24582,0.000996736,0.000996736,0.000996736
3,576.102,0.84741,1.43963,1.37362,0.64301,0.775,0.76777,0.42269,1.41738,2.18866,2.72296,0.00147291,0.00147291,0.00147291
4,752.333,0.86785,1.3838,1.37336,0.44848,0.70833,0.63541,0.38528,1.15941,2.42326,1.97702,0.00156798,0.00156798,0.00156798
5,928.556,0.87056,1.26878,1.35676,0.78089,0.76347,0.80147,0.47379,1.2995,1.88323,2.50277,0.00153497,0.00153497,0.00153497
6,1107.02,0.87266,1.18491,1.35585,0.77043,0.8,0.76747,0.54529,0.98352,1.53727,1.70893,0.00150197,0.00150197,0.00150197
7,1293.2,0.8375,1.1436,1.33248,0.70763,0.725,0.69721,0.41507,1.30794,1.74862,2.13823,0.00146896,0.00146896,0.00146896
8,1477.69,0.80487,1.07066,1.30808,0.67909,0.79167,0.83212,0.5888,1.04322,1.42369,1.84297,0.00143595,0.00143595,0.00143595
9,1665.77,0.81094,1.04345,1.32846,0.6327,0.775,0.83643,0.62033,0.81291,1.34916,1.50779,0.00140295,0.00140295,0.00140295
10,1840.49,0.79655,0.97028,1.32031,0.85096,0.88639,0.92805,0.66275,0.93695,1.03473,1.60319,0.00136994,0.00136994,0.00136994
11,2011.81,0.82825,0.98622,1.33088,0.86328,0.86629,0.8986,0.69442,0.8226,0.95853,1.55477,0.00133693,0.00133693,0.00133693
12,2182.83,0.75701,0.92611,1.2869,0.78875,0.75421,0.85919,0.62055,0.93641,1.15639,1.62754,0.00130393,0.00130393,0.00130393
13,2353.01,0.75786,0.86114,1.26855,0.62559,0.83752,0.82809,0.54605,1.08905,1.46397,1.88532,0.00127092,0.00127092,0.00127092
14,2541.82,0.74044,0.85003,1.23547,0.75788,0.7467,0.8494,0.6452,0.84793,1.18598,1.52507,0.00123791,0.00123791,0.00123791
15,2712.09,0.72344,0.83609,1.26012,0.7992,0.91004,0.90686,0.68855,0.86159,0.83677,1.63654,0.00120491,0.00120491,0.00120491
16,2889.67,0.69405,0.75373,1.21959,0.75463,0.85833,0.89284,0.71045,0.72416,0.90874,1.42716,0.0011719,0.0011719,0.0011719
17,3061.57,0.72862,0.80109,1.24401,0.82704,0.79449,0.87721,0.61632,1.02289,1.04546,1.72701,0.00113889,0.00113889,0.00113889
18,3227.74,0.70319,0.74704,1.25401,0.83101,0.85,0.92399,0.7119,0.81207,0.86996,1.5023,0.00110589,0.00110589,0.00110589
19,3387.69,0.68718,0.7218,1.2238,0.8757,0.93333,0.95504,0.72793,0.80082,0.71899,1.50994,0.00107288,0.00107288,0.00107288
20,4285.25,0.68332,0.71154,1.20677,0.66099,0.80833,0.88929,0.6751,0.81818,1.15075,1.47965,0.00103987,0.00103987,0.00103987
21,4447.24,0.65531,0.68681,1.18101,0.82893,0.8275,0.92644,0.69209,0.85209,0.89182,1.52924,0.00100687,0.00100687,0.00100687
22,5098.42,0.66907,0.69333,1.216,0.86751,0.875,0.93391,0.69117,0.87746,0.77204,1.55259,0.000973861,0.000973861,0.000973861
23,5253.94,0.66767,0.69389,1.20963,0.89954,0.875,0.94786,0.77098,0.68172,0.65512,1.34464,0.000940855,0.000940855,0.000940855
24,27187.7,0.63908,0.64761,1.17894,0.90323,0.90884,0.94035,0.72677,0.8383,0.70446,1.49855,0.000907848,0.000907848,0.000907848
25,29758.8,0.61441,0.62602,1.16241,0.85774,0.86531,0.94045,0.7784,0.65799,0.66986,1.28696,0.000874842,0.000874842,0.000874842
26,29977.6,0.64033,0.65654,1.18436,0.83718,0.80314,0.91394,0.77142,0.62982,0.80907,1.26411,0.000841835,0.000841835,0.000841835
27,30202.4,0.6222,0.63577,1.16943,0.90356,0.85833,0.9244,0.71184,0.79151,0.79948,1.44094,0.000808828,0.000808828,0.000808828
28,30398.2,0.5892,0.61224,1.15978,0.862,0.875,0.93046,0.75221,0.69504,0.7163,1.3707,0.000775822,0.000775822,0.000775822
29,30607,0.5776,0.56609,1.14712,0.8905,0.81925,0.93193,0.71858,0.76519,0.72101,1.39915,0.000742815,0.000742815,0.000742815
30,30831.3,0.58583,0.58653,1.15254,0.89382,0.87067,0.94729,0.77857,0.67754,0.68771,1.29685,0.000709809,0.000709809,0.000709809
31,31066.3,0.60559,0.58563,1.15908,0.93335,0.89746,0.96586,0.79529,0.63266,0.60865,1.28916,0.000676802,0.000676802,0.000676802
32,31302.7,0.5775,0.55803,1.14788,0.88228,0.86667,0.94592,0.76672,0.71109,0.63047,1.34588,0.000643795,0.000643795,0.000643795
33,31534.1,0.57881,0.54446,1.13545,0.94321,0.86021,0.95999,0.75351,0.74376,0.62946,1.3963,0.000610789,0.000610789,0.000610789
34,31773.1,0.58007,0.53122,1.14897,0.93278,0.9009,0.96479,0.78855,0.67592,0.57675,1.31356,0.000577782,0.000577782,0.000577782
35,32012.2,0.56825,0.54266,1.12988,0.90228,0.88023,0.95613,0.76934,0.68416,0.6522,1.33401,0.000544776,0.000544776,0.000544776
36,32251.3,0.56939,0.54661,1.13837,0.89395,0.90569,0.96656,0.81799,0.56532,0.56184,1.20422,0.000511769,0.000511769,0.000511769
37,32489.6,0.53664,0.52493,1.12062,0.90665,0.94167,0.97165,0.79575,0.65849,0.53117,1.31846,0.000478762,0.000478762,0.000478762
38,32726.7,0.5549,0.51102,1.13778,0.91965,0.89167,0.96838,0.8161,0.59977,0.58865,1.23385,0.000445756,0.000445756,0.000445756
39,32958.8,0.53657,0.49292,1.10358,0.88534,0.92821,0.97831,0.81469,0.61189,0.5377,1.22368,0.000412749,0.000412749,0.000412749
40,33195.3,0.51879,0.4701,1.10798,0.96286,0.89619,0.97827,0.80979,0.60398,0.51857,1.26759,0.000379743,0.000379743,0.000379743
41,33429.6,0.39227,0.46205,1.06287,0.86006,0.875,0.95906,0.7656,0.68963,0.64839,1.37808,0.000346736,0.000346736,0.000346736
42,33663.4,0.38722,0.36576,1.0559,0.83336,0.86478,0.93407,0.76685,0.65361,0.75908,1.28906,0.000313729,0.000313729,0.000313729
43,33896,0.37097,0.35032,1.04873,0.89736,0.88794,0.95892,0.82558,0.52249,0.64206,1.16639,0.000280723,0.000280723,0.000280723
44,34131.8,0.3602,0.33131,1.02237,0.90213,0.90212,0.96705,0.83333,0.53465,0.55837,1.17327,0.000247716,0.000247716,0.000247716
45,34342.5,0.34132,0.30724,1.00668,0.90706,0.94323,0.9737,0.84734,0.51693,0.46048,1.16828,0.00021471,0.00021471,0.00021471
46,34534.4,0.33408,0.30422,1.00093,0.95002,0.91667,0.97101,0.84039,0.53164,0.4753,1.18264,0.000181703,0.000181703,0.000181703
47,34726.7,0.3279,0.29055,0.99829,0.88813,0.92723,0.9706,0.85197,0.52516,0.49151,1.16089,0.000148696,0.000148696,0.000148696
48,34915.2,0.31306,0.28142,0.97591,0.96062,0.85283,0.97122,0.8639,0.49508,0.46589,1.13842,0.00011569,0.00011569,0.00011569
49,35104.7,0.31958,0.27909,0.99336,0.9396,0.86653,0.97019,0.85423,0.50506,0.47218,1.15224,8.26832e-05,8.26832e-05,8.26832e-05
50,35298.7,0.30711,0.26874,0.99365,0.91189,0.90373,0.97241,0.85786,0.50166,0.47187,1.14596,4.96766e-05,4.96766e-05,4.96766e-05
